vote_id,movie_id,vote_average,vote_count
133,124636,0.0,0
134,9101,5.6,110
135,123360,6.5,2
136,5757,3.8,2
137,39428,7.2,5
138,124639,0.0,0
139,9302,5.9,51
140,11000,6.7,303
141,249882,7.0,2
142,16388,6.3,23
143,9737,6.5,1729
144,30765,5.0,31
145,10474,7.2,472
146,22279,6.0,11
147,30157,6.5,21
148,568,7.3,1637
149,11780,6.5,151
150,34996,6.4,46
151,414,5.2,1529
152,649,7.3,163
153,1873,6.4,21
154,5894,6.8,28
155,1775,5.9,57
156,8839,6.0,1045
157,20649,6.8,69
158,10329,5.0,214
159,8963,7.0,508
160,26564,7.6,71
161,8068,6.8,898
162,8512,6.3,88
163,1572,6.9,2094
164,13552,5.6,57
165,259209,0.0,0
166,6520,5.9,319
167,9073,5.5,130
168,10428,6.2,406
169,17447,6.5,19
170,9886,5.5,380
171,9482,5.4,643
172,19326,4.0,34
173,9344,6.8,280
174,9071,7.2,64
175,8973,5.9,87
176,15730,7.0,7
177,47608,5.5,27
178,2293,6.8,400
179,9070,5.2,153
180,68274,5.6,10
181,48787,6.4,36
182,34574,5.9,12
183,1642,5.6,359
184,11472,5.5,171
185,36196,5.8,14
186,11980,6.4,139
187,58372,10.0,1
188,32646,7.2,62
189,10533,5.5,111
190,56088,5.3,2
191,10802,4.9,261
192,10149,7.2,115
193,18402,5.7,60
194,9348,5.5,457
195,139408,6.6,6
196,281,6.8,334
197,5967,7.6,119
198,79593,4.6,9
199,47939,6.1,18
200,36834,6.5,112
201,9090,6.3,117
202,3512,5.6,217
203,52856,6.4,9
204,77350,6.0,6
205,9560,6.5,168
206,9804,5.9,1017
207,31611,5.1,25
208,65796,5.9,27
209,49805,6.0,11
210,26258,4.9,29
211,50797,6.7,35
212,19155,7.7,45
213,76,7.7,984
214,11017,6.2,464
215,37141,4.7,27
216,9382,6.3,48
217,6715,7.2,58
218,18256,5.8,40
219,22625,6.5,30
220,2292,7.4,769
221,1909,6.3,184
222,8984,5.9,217
223,61813,2.5,1
224,4954,5.1,91
225,62488,5.3,9
226,10531,7.1,92
227,11929,7.1,183
228,8467,6.5,1894
229,10451,7.5,76
230,20156,6.5,64
231,18395,4.3,28
232,522,7.3,639
233,397,6.2,179
234,10525,6.1,38
235,27985,5.6,27
236,15789,6.7,404
237,27303,5.0,24
238,21183,6.6,48
239,10954,5.9,20
240,47867,3.0,4
241,43475,5.0,2
242,72031,5.4,9
243,14275,7.7,91
244,1024,6.9,299
245,17207,6.0,17
246,13701,6.9,90
247,14819,6.0,97
248,32631,6.0,25
249,11777,5.9,112
250,628,7.2,1558
251,87729,5.2,10
252,18713,4.8,10
253,6280,4.7,381
254,9061,6.0,124
255,37108,4.3,40
256,6071,5.7,83
257,11,8.1,6778
258,9587,7.0,222
259,19101,7.4,207
260,49980,7.4,14
261,17961,6.6,22
262,18183,6.6,70
263,4476,7.2,636
264,11008,6.1,164
265,47504,6.4,31
266,32325,5.7,9
267,43742,4.3,11
268,28313,6.4,28
269,11318,6.7,67
270,3036,6.1,272
271,40490,5.1,40
272,24070,5.2,37
273,8986,5.6,49
274,10510,6.4,199
275,17402,5.6,7
276,38722,7.0,11
277,8438,6.9,140
278,11593,7.0,56
279,1945,6.1,128
280,39310,6.9,7
281,109560,0.0,0
282,56428,4.0,4
283,63105,4.6,10
284,131957,7.4,4
285,241,6.9,927
286,9058,6.4,92
287,527,7.6,106
288,18220,4.6,32
289,6950,6.4,522
290,101,8.2,4293
291,63020,6.6,9
292,2307,7.0,2
293,680,8.3,8670
294,41478,6.4,6
295,25296,6.1,9
296,40156,6.4,32
297,11450,7.1,262
298,30304,7.4,5
299,10452,7.0,67
300,12106,6.2,431
301,161495,6.4,7
302,3586,5.3,33
303,110,7.8,246
304,108,7.7,311
305,109,7.3,218
306,159185,7.0,2
307,36357,5.1,15
308,92769,4.7,3
309,28033,5.0,6
310,22586,6.5,251
311,14334,6.1,15
312,2636,5.5,317
313,2164,6.8,942
314,11395,6.3,501
315,278,8.5,8358
316,9905,7.0,247
317,87078,6.0,7
318,12527,7.1,16
319,20306,6.7,104
320,36614,6.0,21
321,27993,5.7,23
322,31439,7.7,62
323,9067,5.5,140
324,9059,6.7,96
325,193,6.4,461
326,25066,5.4,33
327,46797,5.8,8
328,12122,5.6,165
329,11381,6.8,321
330,32636,6.1,15
331,36141,5.6,15
332,95963,6.6,4
333,1587,7.5,943
334,9271,5.4,163
335,2064,6.5,340
336,19855,6.3,39
337,60855,5.5,2
338,236,6.9,104
339,48287,5.3,23
340,3049,6.4,1684
341,2759,7.2,174
342,12635,6.2,37
343,10497,7.0,115
344,11382,7.0,130
345,9331,6.4,390
346,10731,6.4,287
347,10464,6.4,83
348,34152,6.7,31
349,9495,7.3,980
350,29973,6.1,29
351,888,5.0,559
352,13,8.2,8147
353,712,6.6,654
354,16295,6.4,49
355,48992,6.3,4
356,10879,5.3,41
357,10660,6.1,154
358,10714,5.9,107
359,41647,7.3,5
360,8587,8.0,5520
361,1689,6.0,76
362,11596,6.4,297
363,854,6.6,2550
364,9359,6.6,490
365,23333,6.3,20
366,36593,6.4,535
367,12280,6.1,40
368,2788,6.5,180
369,10427,6.4,71
370,11011,5.4,426
371,49803,4.9,7
372,8987,6.1,214
373,1637,6.8,1814
374,15128,5.5,24
375,8831,5.5,288
376,36955,6.8,1138
377,10449,6.0,71
378,10395,6.0,221
379,12160,6.5,203
380,40480,4.9,12
381,52038,6.5,2
382,29444,6.1,22
383,26352,6.0,31
384,39953,2.0,1
385,41580,5.9,9
386,315,6.5,59
387,22067,5.9,9
388,18242,7.1,8
389,11667,4.1,330
390,32502,6.7,13
391,267188,0.0,0
392,28732,6.3,6
393,75555,3.4,7
394,42981,7.5,4
395,278939,10.0,1
396,291731,0.0,0
397,226229,4.0,1
398,203119,0.0,0
399,172923,5.0,1
400,316098,4.0,1
401,8011,4.5,110
402,171857,5.0,2
403,2654,7.1,307
404,18069,7.2,22
405,19092,6.7,40
406,2758,6.5,537
407,38129,4.5,4
408,10436,7.0,172
409,13595,5.8,222
410,46094,5.1,42
411,9409,4.9,58
412,11853,4.6,61
413,16771,6.6,20
414,46924,5.0,15
415,11041,5.0,86
416,306,5.5,445
417,14522,6.6,68
418,26203,6.3,45
419,178,6.0,126
420,19819,5.7,41
421,57834,6.1,28
422,4722,5.8,102
423,18215,4.5,59
424,1607,7.4,447
425,26391,4.9,28
426,117553,3.7,10
427,6075,7.7,805
428,11310,4.9,103
429,18658,5.7,25
430,9350,6.1,600
431,9612,4.8,228
432,2124,5.4,117
433,26261,5.0,36
434,19176,5.1,38
435,49299,5.4,9
436,11566,6.3,205
437,9571,7.4,588
438,9739,6.4,1018
439,24257,7.1,12
440,34444,4.2,29
441,26141,5.4,37
442,10997,7.8,98
443,50463,3.3,6
444,10443,6.8,80
445,20239,5.8,11
446,16297,6.1,54
447,18551,6.2,22
448,25440,4.3,3
449,9024,5.7,77
450,37233,6.6,513
451,1634,6.0,429
452,13815,7.6,56
453,5503,7.2,1240
454,35588,5.9,44
455,2087,5.4,81
456,41579,4.5,43
457,18620,3.9,5
458,41006,5.2,11
459,4916,5.6,21
460,2019,6.1,237
461,31642,6.4,51
462,9255,6.2,463
463,26271,4.7,12
464,10612,6.1,83
465,2259,6.7,135
466,16097,4.6,11
467,11934,7.1,280
468,106143,5.7,18
469,12475,4.7,54
470,9386,6.8,392
471,7984,7.6,363
472,59930,3.9,5
473,15765,6.9,75
474,31643,4.6,17
475,6,6.4,79
476,329,7.6,4956
477,10909,6.5,209
478,507,6.1,111
479,34024,6.4,33
480,29918,6.1,54
481,9593,6.1,725
482,42580,5.1,24
483,22317,5.7,40
484,1413,6.6,35
485,12121,5.3,86
486,2246,5.9,105
487,10502,6.2,125
488,10440,7.1,169
489,9516,7.2,179
490,2320,5.8,261
491,5879,6.5,112
492,83718,7.0,7
493,11971,7.2,194
494,2625,5.9,35
495,31911,5.5,11
496,788,7.0,1638
497,21450,7.5,105
498,11231,4.8,202
499,41588,4.8,5
500,10447,6.1,86
501,31586,4.8,67
502,9300,6.7,53
503,9559,7.2,376
504,9800,7.6,1019
505,713,7.1,290
506,8291,6.9,47
507,18133,6.0,28
508,25557,5.6,41
509,22588,5.8,12
510,10872,6.7,99
511,1245,7.5,213
512,11858,5.9,83
513,7007,5.8,188
514,10467,5.5,43
515,5550,4.2,309
516,8005,6.4,575
517,2088,5.7,36
518,10412,6.6,126
519,47889,5.6,10
520,14534,7.2,187
521,56583,4.0,5
522,41878,6.2,11
523,424,8.3,4436
524,35233,5.3,37
525,14291,7.3,100
526,103413,5.9,8
527,11236,7.1,232
528,11592,6.4,137
529,8850,5.4,140
530,10445,6.8,61
531,695,6.9,136
532,43535,5.7,26
533,12519,5.2,31
534,23210,6.5,75
535,858,6.5,630
536,867,4.9,144
537,78,7.9,3833
538,13203,5.6,81
539,10442,6.1,131
540,11074,5.4,223
541,33367,4.0,4
542,9607,4.0,236
543,17585,6.1,53
544,9057,5.0,82
545,20967,7.4,9
546,10635,6.3,57
547,9479,7.6,2135
548,10057,6.2,219
549,11969,7.4,632
550,41590,5.5,5
551,319,7.5,762
552,26408,7.3,19
553,15139,6.2,178
554,161158,6.0,2
555,218473,0.0,1
556,85247,3.0,2
557,11446,6.9,103
558,51980,6.3,43
559,24405,4.7,22
560,11655,6.4,153
561,11800,4.0,3
562,8223,6.8,58
563,14587,5.1,10
564,31504,6.0,20
565,41653,6.2,10
566,53185,0.0,0
567,95743,0.0,0
568,23637,7.2,74
569,17600,5.3,29
570,10897,6.3,214
571,349394,0.0,0
572,21352,5.0,31
573,68806,5.0,5
574,37345,4.4,5
575,32562,7.0,24
576,47507,6.8,4
577,25403,6.9,46
578,124304,6.0,1
579,9066,5.9,87
580,771,7.1,2487
581,251,6.9,1381
582,812,7.4,3495
583,280,7.7,4274
584,581,7.6,1084
585,80350,6.3,4
586,268,7.0,2145
587,274,8.1,4549
588,408,6.9,1973
589,10020,7.5,3029
590,10895,6.9,1412
591,114,7.0,1807
592,41043,6.0,6
593,576,7.7,266
594,15477,5.5,15
595,59146,6.5,1
596,124472,7.0,2
597,30528,6.1,20
598,7300,6.1,160
599,10824,5.0,64
600,261246,5.0,1
601,275,7.7,2080
602,25059,6.0,105
603,11827,6.3,150
604,8766,4.9,111
605,23570,4.6,30
606,47333,7.1,51
607,54850,4.0,3
608,51242,7.1,10
609,10112,7.1,1287
610,4307,6.9,43
611,46029,5.1,24
612,32308,3.6,24
613,88893,7.5,4
614,52873,6.4,4
615,123505,5.0,1
616,340210,4.7,3
617,44281,7.4,5
618,28121,5.7,15
619,12520,6.5,82
620,1592,7.4,644
621,166901,6.0,1
622,36447,5.4,5
623,19042,5.0,50
624,38884,7.0,53
625,47449,6.6,5
626,36259,3.6,17
627,41852,5.6,14
628,40926,3.0,3
629,9099,5.5,96
630,2021,5.1,10
631,61752,5.7,17
632,10988,5.4,74
633,11479,6.0,145
634,398959,5.0,1
635,287305,4.0,1
636,339428,0.0,0
637,12652,7.1,16
638,10684,6.2,240
639,954,6.7,2677
640,68445,7.7,6
641,18989,6.2,19
642,10801,5.3,7
643,54285,6.2,10
644,8840,6.4,553
645,278978,0.0,0
646,124625,0.0,0
647,11107,5.4,46
648,16417,6.0,4
649,70934,0.0,0
650,10363,7.3,73
651,161070,5.3,3
652,10539,6.2,375
653,10543,6.1,157
654,18414,5.9,26
655,47502,4.8,4
656,11902,7.5,143
657,27098,6.1,23
658,25087,5.2,23
659,5801,7.9,63
660,896,8.2,40
661,3065,7.0,71
662,318177,0.0,0
663,2300,6.5,1335
664,8069,5.7,149
665,288173,8.0,1
666,187851,5.5,1
667,27768,7.5,8
668,221917,8.0,2
669,8072,6.8,100
670,35797,6.8,21
671,88030,7.5,4
672,185191,0.0,0
673,83857,5.8,9
674,33245,6.2,9
675,124460,8.0,1
676,27281,4.7,37
677,105045,5.0,1
678,40001,5.5,26
679,29621,3.9,18
680,117730,6.5,2
681,20762,5.8,60
682,37144,5.1,7
683,48260,7.4,5
684,12656,5.5,29
685,38867,3.3,5
686,277270,0.0,0
687,25969,6.8,24
688,44103,6.7,15
689,753,7.1,36
690,43634,5.3,11
691,9103,5.3,126
692,90214,7.1,9
693,29649,5.1,7
694,10990,6.2,73
695,8866,5.7,86
696,12233,6.5,372
697,23449,4.9,35
698,36355,5.3,85
699,37667,6.0,10
700,90148,4.4,11
701,922,7.2,397
702,11876,6.7,25
703,52633,6.6,27
704,62364,5.5,5
705,11687,7.1,433
706,9304,5.5,158
707,73183,10.0,1
708,131232,0.0,0
709,9100,6.3,388
710,20759,5.1,29
711,46063,5.6,9
712,365371,0.0,0
713,32513,7.0,21
714,40651,7.7,11
715,36915,5.0,17
716,40507,5.5,5
717,9802,6.9,1474
718,25697,5.5,6
719,21588,7.0,105
720,664,6.1,966
721,11867,3.9,117
722,47119,5.0,1
723,314352,0.0,0
724,9323,7.8,854
725,10280,5.5,125
726,10535,4.9,148
727,124613,0.0,0
728,532,7.5,223
729,26744,6.6,33
730,16299,4.2,22
731,10547,6.1,200
732,245268,0.0,0
733,935,8.0,1472
734,55613,7.8,4
735,215107,0.0,0
736,41007,7.2,7
737,35645,5.8,20
738,110465,7.0,5
739,255546,10.0,1
740,40751,7.1,73
741,275096,8.0,3
742,85778,0.0,0
743,11101,7.4,116
744,9826,4.7,138
745,9879,4.4,210
746,63564,5.7,15
747,22621,7.7,11
748,7095,5.9,340
749,26890,6.1,32
750,46732,6.1,4
751,124633,0.0,0
752,202425,6.5,2
753,196940,5.0,1
754,77771,7.3,10
755,181083,5.0,1
756,41225,5.5,24
757,188589,0.0,0
758,87190,6.3,5
759,627,7.8,2737
760,32872,3.9,4
761,602,6.7,3334
762,14553,6.6,99
763,9566,5.7,202
764,10545,6.8,1182
765,9894,5.7,603
766,11543,6.7,248
767,9268,5.6,553
768,52059,6.7,3
769,9327,5.4,717
770,123763,6.8,3
771,81949,7.2,6
772,42005,0.0,0
773,124306,8.0,1
774,183955,7.0,1
775,44535,5.1,2
776,44495,6.3,3
777,78285,0.0,0
778,11228,5.8,385
779,10779,6.7,413
780,26748,6.9,79
781,38223,5.7,47
782,9294,6.2,328
783,49963,6.6,8
784,11363,5.7,71
785,1645,7.0,522
786,31546,6.2,9
787,77056,6.5,4
788,36344,5.2,32
789,18550,5.2,49
790,11511,3.6,60
791,172198,6.0,1
792,34170,5.4,35
793,281085,6.0,2
794,109478,4.0,1
795,124645,7.0,2
796,12606,5.8,42
797,69895,6.0,1
798,35206,7.4,8
799,151489,6.5,2
800,4837,6.5,25
801,12632,6.3,4
802,9098,5.2,9
803,282919,4.0,1
804,124614,6.5,6
805,18975,5.0,55
806,11962,5.0,87
807,2925,6.5,172
808,28628,7.2,10
809,3595,6.4,482
810,9308,5.4,51
811,92381,5.4,8
812,18555,6.3,30
813,12123,5.3,291
814,10830,6.9,892
815,3573,6.7,152
816,10546,5.2,119
817,18862,5.0,32
818,31417,7.5,130
819,9431,5.0,63
820,124619,7.0,1
821,297645,0.0,0
822,48144,7.0,2
823,46986,7.5,4
824,144982,5.0,1
825,47907,6.8,17
826,10061,5.6,381
827,36266,6.8,23
828,549,6.6,97
829,10478,5.9,152
830,66634,6.0,1
831,116690,6.4,12
832,213917,6.0,2
833,145925,6.0,1
834,100914,5.0,1
835,238,8.5,6024
836,159,6.1,34
837,11134,6.7,109
838,88224,6.3,9
839,132641,0.0,0
840,42758,6.4,10
841,9303,6.9,203
842,23945,4.9,17
843,37820,6.1,7
844,22479,6.1,13
845,9054,4.7,48
846,241058,4.0,2
847,11985,7.3,16
848,10232,4.0,2
849,59569,6.3,10
850,410921,0.0,0
851,38955,5.8,12
852,110513,5.2,3
853,114089,7.7,3
854,11015,5.8,130
855,9306,4.6,148
856,12559,5.3,28
857,58770,6.6,18
858,124851,5.0,2
859,3587,5.4,46
860,10723,5.4,164
861,56077,6.8,4
862,19004,6.1,86
863,101230,5.0,1
864,253632,0.0,0
865,10987,5.0,173
866,44705,7.0,22
867,20318,7.1,13
868,43596,6.3,8
869,79782,7.5,4
870,26933,7.4,18
871,27854,6.1,41
872,981,7.7,196
873,872,7.9,747
874,2769,6.9,133
875,13320,7.0,162
876,164,7.6,1082
877,426,8.0,1162
878,567,8.2,1531
879,3078,7.7,283
880,13528,7.2,73
881,28288,7.2,17
882,213,7.8,1062
883,284,8.1,498
884,239,8.0,835
885,4808,7.7,351
886,289,7.9,1462
887,963,7.8,435
888,11113,7.4,361
889,6620,7.4,284
890,804,7.8,502
891,26531,7.0,22
892,909,6.8,66
893,630,7.4,1689
894,770,7.7,995
895,31044,7.1,35
896,599,8.2,533
897,15,8.0,1244
898,62,7.9,3075
899,121357,4.8,3
900,705,8.0,367
901,22490,6.4,26
902,223,7.7,346
903,25670,7.0,86
904,303,7.8,345
905,4174,7.3,166
906,8356,7.1,101
907,381,7.1,299
908,20758,6.6,43
909,29376,7.1,46
910,1859,7.3,77
911,18299,7.3,55
912,17281,6.1,68
913,64382,6.6,11
914,10907,7.6,170
915,32093,7.1,39
916,1939,7.6,173
917,22292,7.3,59
918,3598,6.8,42
919,3080,7.4,62
920,198,7.7,119
921,13562,7.7,69
922,1712,7.5,169
923,220,7.5,163
924,3529,7.4,97
925,3085,7.5,171
926,2897,6.5,85
927,1585,8.0,1103
928,3083,7.9,245
929,900,7.6,201
930,43795,6.4,23
931,85638,8.3,4
932,50001,5.0,7
933,43905,6.4,26
934,22688,5.7,6
935,23114,6.6,13
936,26378,5.6,8
937,40206,6.2,17
938,22356,6.6,27
939,260,7.4,217
940,43488,5.2,14
941,22613,4.9,16
942,10331,7.5,591
943,488,7.4,232
944,22733,6.2,31
945,261,7.6,168
946,57575,5.1,9
947,32574,7.3,52
948,22657,5.8,6
949,76464,3.8,2
950,22649,6.2,29
951,176841,6.0,1
952,125587,4.0,1
953,39448,7.4,11
954,52855,5.0,8
955,39940,6.7,19
956,172868,0.0,0
957,85328,5.3,2
958,124632,0.0,0
959,11076,6.6,114
960,63945,4.8,6
961,58985,6.5,15
962,890,6.8,6
963,10861,5.3,104
964,1770,6.8,98
965,44465,4.9,11
966,2033,0.0,0
967,18203,6.8,45
968,9333,6.2,263
969,47260,6.5,5
970,9400,6.9,66
971,9401,5.9,73
972,12241,6.2,29
973,25739,6.0,3
974,161806,3.0,1
975,11306,5.7,80
976,9625,4.7,102
977,10680,5.3,99
978,6346,5.9,62
979,18660,6.6,34
980,35115,5.9,14
981,14821,6.5,60
982,14136,6.0,126
983,10869,5.9,77
984,22660,7.0,68
985,19186,6.8,92
986,31102,6.9,50
987,6878,6.6,218
988,15944,6.2,22
989,18444,7.0,88
990,20723,6.4,28
991,173,6.9,160
992,864,6.8,510
993,24795,5.7,124
994,11224,6.8,1760
995,81310,7.8,20
996,15947,6.2,108
997,9078,6.9,935
998,29682,6.3,5
999,8367,6.6,937
1000,433,7.4,1217
1001,11360,6.8,1206
1002,11114,6.4,201
1003,12335,6.8,260
1004,12092,7.0,1557
1005,10948,7.0,884
1006,11229,6.5,95
1007,15121,7.4,966
1008,562,7.5,4005
1009,10163,5.4,198
1010,48862,6.2,11
1011,117036,0.0,0
1012,47199,5.0,7
1013,11159,7.1,127
1014,9591,6.8,230
1015,30500,5.1,13
1016,41843,5.3,21
1017,55058,5.5,2
1018,10938,7.3,76
1019,11412,6.4,323
1020,10586,6.4,238
1021,42314,6.9,33
1022,27845,6.7,51
1023,108365,0.0,0
1024,23223,6.8,8
1025,49471,7.0,11
1026,38153,4.0,12
1027,25147,6.6,38
1028,9716,6.5,149
1029,43777,6.3,3
1030,454,6.7,1406
1031,10218,6.8,255
1032,819,7.3,729
1033,38191,6.1,8
1034,56830,6.0,6
1035,11238,6.1,494
1036,27256,5.2,3
1037,31530,7.9,22
1038,66473,7.0,4
1039,28120,6.1,26
1040,1834,7.2,48
1041,26282,5.6,8
1042,37218,7.4,3
1043,252,7.4,826
1044,116356,5.0,2
1045,16372,7.5,126
1046,11561,7.0,206
1047,11302,6.7,167
1048,623,7.1,576
1049,583,7.7,1230
1050,12614,6.9,89
1051,21711,6.9,39
1052,11575,7.2,64
1053,475,7.6,384
1054,11331,6.0,25
1055,521,7.9,539
1056,21202,4.8,3
1057,88,7.1,1371
1058,500,8.1,3821
1059,792,7.5,1236
1060,8491,6.4,255
1061,402,6.5,869
1062,10537,6.7,285
1063,11386,6.9,180
1064,9504,7.5,330
1065,15764,7.4,149
1066,601,7.3,3359
1067,67365,6.3,4
1068,25842,7.0,34
1069,2119,5.9,359
1070,744,6.7,1736
1071,136311,6.8,5
1072,221,7.6,351
1073,702,7.6,291
1074,25750,4.6,41
1075,17642,0.0,0
1076,427043,0.0,0
1077,146341,0.0,0
1078,9305,7.7,61
1079,37616,5.4,7
1080,11112,6.2,49
1081,21612,7.3,31
1082,141210,8.0,1
1083,102461,6.8,8
1084,36998,7.0,56
1085,200383,5.2,3
1086,116844,0.0,0
1087,1630,6.8,257
1088,26626,5.8,15
1089,124837,5.3,2
1090,11816,7.3,101
1091,11843,6.7,138
1092,10379,5.9,107
1093,2756,7.1,822
1094,790,6.4,318
1095,1103,6.9,720
1096,11298,6.4,165
1097,4480,7.6,113
1098,4481,7.8,103
1099,49688,6.3,3
1100,10765,6.0,103
1101,762,7.8,1742
1102,44497,6.8,12
1103,85588,8.0,1
1104,278621,4.0,1
1105,99479,5.0,1
1106,55049,8.0,5
1107,124829,0.0,0
1108,79306,0.0,0
1109,356054,0.0,0
1110,10548,7.3,54
1111,531,7.6,266
1112,104931,7.7,3
1113,4483,6.7,22
1114,18919,7.4,22
1115,31556,6.4,17
1116,26167,7.2,19
1117,26174,6.4,15
1118,61461,7.2,11
1119,117500,4.7,3
1120,218713,8.0,1
1121,217802,0.0,0
1122,127973,3.5,2
1123,659,7.0,93
1124,30892,6.8,29
1125,86369,4.8,3
1126,8074,7.0,33
1127,124676,0.0,0
1128,38554,5.1,17
1129,49763,5.7,33
1130,41326,6.0,2
1131,36555,5.8,13
1132,10608,6.5,44
1133,11216,8.2,834
1134,7452,7.3,137
1135,64567,5.6,9
1136,892,7.4,320
1137,1600,7.3,154
1138,26561,6.9,25
1139,975,8.2,565
1140,18129,6.5,112
1141,54405,4.1,4
1142,150823,5.0,1
1143,409,7.0,559
1144,38251,7.4,157
1145,10161,7.5,208
1146,1412,6.7,188
1147,41768,6.7,7
1148,10409,6.2,83
1149,14285,7.9,109
1150,2469,7.0,102
1151,10174,6.3,32
1152,31225,8.2,67
1153,510,8.3,3001
1154,11455,6.7,201
1155,1891,8.2,5998
1156,2493,7.6,1518
1157,85,7.7,3949
1158,68,7.6,877
1159,679,7.7,3282
1160,429,8.1,2371
1161,13446,7.4,173
1162,389,8.2,2130
1163,947,7.8,870
1164,185,8.0,3432
1165,595,7.9,676
1166,28,8.0,2112
1167,335,8.1,1160
1168,1892,7.9,4763
1169,144,7.5,256
1170,1092,7.9,431
1171,769,8.2,3211
1172,348,7.9,4564
1173,766,7.3,852
1174,175,7.6,364
1175,11645,7.9,349
1176,10835,7.6,179
1177,539,8.3,2405
1178,525,7.5,1092
1179,240,8.3,3418
1180,600,7.9,2595
1181,530,7.4,199
1182,10705,7.4,73
1183,279,7.8,1107
1184,3109,7.3,118
1185,311,8.3,1104
1186,1578,7.7,968
1187,703,7.8,1044
1188,9549,7.4,241
1189,1398,7.8,356
1190,387,7.9,623
1191,9277,7.9,639
1192,343,7.7,266
1193,37291,6.5,24
1194,490,7.9,569
1195,11235,7.0,81
1196,218,7.4,4208
1197,763,7.4,388
1198,9665,7.4,391
1199,18971,7.3,75
1200,696,7.8,600
1201,379,7.5,431
1202,207,8.1,2786
1203,37247,7.6,855
1204,1480,7.6,292
1205,9322,7.0,511
1206,826,7.7,554
1207,422,7.9,427
1208,829,7.9,939
1209,828,7.3,323
1210,3090,7.9,285
1211,9964,6.4,196
1212,3063,7.6,170
1213,13667,6.8,164
1214,694,8.1,3890
1215,235,7.8,1568
1216,832,8.0,465
1217,765,7.5,760
1218,5925,7.8,731
1219,11778,7.8,943
1220,4485,6.7,37
1221,137,7.4,2358
1222,33,7.7,1133
1223,982,7.7,188
1224,8428,7.0,86
1225,212,7.4,234
1226,105,8.0,6239
1227,1633,7.6,298
1228,11202,7.3,327
1229,1554,7.2,149
1230,149,7.8,792
1231,8009,6.8,642
1232,903,7.7,390
1233,11673,6.8,131
1234,3034,7.7,880
1235,339,7.5,165
1236,10404,7.8,139
1237,914,8.1,756
1238,756,7.2,831
1239,288,7.6,343
1240,910,7.6,244
1241,2640,7.3,387
1242,16633,7.1,104
1243,665,7.5,660
1244,11031,7.6,413
1245,11314,7.7,140
1246,15143,6.9,104
1247,89,7.6,3221
1248,10322,7.7,243
1249,783,7.4,730
1250,10644,7.0,89
1251,11257,6.9,164
1252,14370,6.6,121
1253,12104,7.7,363
